KUNTANRO;KUNTANIMIFI;KUNTANIMISV;KUNTAMUOTO;KIELISYYS;VAALIPIIRINRO;VAALIPIIRIFI;VAALIPIIRISV;MAISTRAATTINRO;MAISTRAATTINIMIFI;MAISTRAATTINIMISV;PALVELUYKSIKKÖNRO;PALVELUYKSIKKÖFI;PALVELUYKSIKKÖSV;MAAKUNTANRO;MAAKUNTANIMIFI;MAAKUNTANIMISV
481;Masku;Masku;Kunta;suomi;3;Varsinais-Suomen vaalipiiri;Egentliga Finlands valkrets;792;Lounais-Suomen maistraatti;Magistraten i Sydvästra Finland;107; Turun yksikkö; Enheten i Åbo;2;Varsinais-Suomi;Egentliga Finland
483;Merijärvi;Merijärvi;Kunta;suomi;12;Oulun vaalipiiri;Uleåborgs valkrets;796;Pohjois-Suomen maistraatti;Magistraten i Norra Finland;128; Raahen yksikkö; Enheten i Brahestad;16;Pohjois-Pohjanmaa;Norra Österbotten
484;Merikarvia;Sastmola;Kunta;suomi;4;Satakunnan vaalipiiri;Satakunta valkrets;792;Lounais-Suomen maistraatti;Magistraten i Sydvästra Finland;110; Porin yksikkö; Enheten i Björneborg;3;Satakunta;Satakunta
489;Miehikkälä;Miehikkälä;Kunta;suomi;8;Kaakkois-Suomen vaalipiiri;Sydöstra Finlands valkrets;790;Kaakkois-Suomen maistraatti;Magistraten i Sydöstra Finland;106; Kotkan yksikkö; Enheten i Kotka;7;Kymenlaakso;Kymmenedalen
491;Mikkeli;S:t Michel;Kaupunki;suomi;8;Kaakkois-Suomen vaalipiiri;Sydöstra Finlands valkrets;795;Itä-Suomen maistraatti;Magistraten i Östra Finland;123; Mikkelin yksikkö; Enheten i S:t Michel;9;Etelä-Savo;Södra Savolax
494;Muhos;Muhos;Kunta;suomi;12;Oulun vaalipiiri;Uleåborgs valkrets;796;Pohjois-Suomen maistraatti;Magistraten i Norra Finland;127; Oulun yksikkö; Enheten i Uleåborg;16;Pohjois-Pohjanmaa;Norra Österbotten
495;Multia;Multia;Kunta;ruotsi - suomi;11;Keski-Suomen vaalipiiri;Mellersta Finlands valkrets;793;Sisä-Suomen maistraatti;Magistraten i Inre Finland;113; Jyväskylän yksikkö; Enheten i Jyväskylä;12;Keski-Suomi;Mellersta Finland
498;Muonio;Muonio;Kunta;suomi;13;Lapin vaalipiiri;Lapplands valkrets;774;Lapin maistraatti;Magistraten i Lappland;759; Kittilän yksikkö; Enheten i Kittilä;18;Lappi;Lappland
499;Mustasaari;Korsholm;Kunta;suomi;10;Vaasan vaalipiiri;Vasa valkrets;794;Länsi-Suomen maistraatti;Magistraten i Västra Finland;116; Vaasan yksikkö; Enheten i Vasa;14;Pohjanmaa;Österbotten
500;Muurame;Muurame;Kunta;suomi - ruotsi;11;Keski-Suomen vaalipiiri;Mellersta Finlands valkrets;793;Sisä-Suomen maistraatti;Magistraten i Inre Finland;113; Jyväskylän yksikkö; Enheten i Jyväskylä;12;Keski-Suomi;Mellersta Finland
503;Mynämäki;Mynämäki;Kunta;suomi;3;Varsinais-Suomen vaalipiiri;Egentliga Finlands valkrets;792;Lounais-Suomen maistraatti;Magistraten i Sydvästra Finland;111; Rauman yksikkö; Enheten i Raumo;2;Varsinais-Suomi;Egentliga Finland
